"","InName","totalmoves","OutCode"
"1",NA,2272.5199,NA
"2","Newcastle upon Tyne",1110.2523,NA
"3","Wandsworth",983.8485,NA
"4","Lambeth",949.0935,NA
"5","Tower Hamlets",754.6108,NA
"6","Camden",697.5785,NA
"7","County Durham",643.1456,NA
"8","Southwark",630.4127,NA
"9","Islington",628.6351,NA
"10","Bristol",592.2012,NA
"11","Hammersmith and Fulham",558.3704,NA
"12","Sandwell",1211.7686,"Birmingham"
"13","Solihull",1073.4396,"Birmingham"
"14","Walsall",650.5217,"Birmingham"
"15","Dudley",454.836,"Birmingham"
"16",NA,426.9149,"Birmingham"
"17","Bromsgrove",324.5771,"Birmingham"
"18","Coventry",255.3539,"Birmingham"
"19","Wolverhampton",249.0691,"Birmingham"
"20","Manchester",216.665,"Birmingham"
"21","Wandsworth",215.329,"Birmingham"
"22","Lambeth",212.5844,"Birmingham"
"23","Bradford",887.8424,"Leeds"
"24","Wakefield",861.355,"Leeds"
"25",NA,630.958,"Leeds"
"26","Kirklees",612.2222,"Leeds"
"27","Manchester",393.7578,"Leeds"
"28","Sheffield",301.2557,"Leeds"
"29","Lambeth",274.4944,"Leeds"
"30","Harrogate",254.1364,"Leeds"
"31","Wandsworth",219.1608,"Leeds"
"32","Birmingham",207.8066,"Leeds"
"33","York",207.1578,"Leeds"
"34","Salford",1391.7473,"Manchester"
"35","Stockport",939.9909,"Manchester"
"36","Trafford",887.2559,"Manchester"
"37",NA,528.9446,"Manchester"
"38","Tameside",453.9193,"Manchester"
"39","Oldham",412.5508,"Manchester"
"40","Bury",345.972,"Manchester"
"41","Rochdale",340.0723,"Manchester"
"42","Cheshire East",308.6143,"Manchester"
"43","Leeds",294.2152,"Manchester"
"44","Liverpool",234.0778,"Manchester"
"45","Rotherham",683.8618,"Sheffield"
"46","Leeds",403.3722,"Sheffield"
"47",NA,372.9363,"Sheffield"
"48","Manchester",294.8964,"Sheffield"
"49","Barnsley",287.8583,"Sheffield"
"50","North East Derbyshire",256.0167,"Sheffield"
"51","Birmingham",208.7328,"Sheffield"
"52","Doncaster",178.8343,"Sheffield"
"53","Chesterfield",154.2999,"Sheffield"
"54","Nottingham",150.122,"Sheffield"
"55","Lambeth",144.3157,"Sheffield"
"56","South Gloucestershire",1701.1673,"Bristol"
"57","North Somerset",589.2651,"Bristol"
"58",NA,493.6166,"Bristol"
"59","Bath and North East Somerset",432.6883,"Bristol"
"60","Cardiff",226.9266,"Bristol"
"61","Wandsworth",213.6212,"Bristol"
"62","Lambeth",213.2884,"Bristol"
"63","Wiltshire",211.3955,"Bristol"
"64","Southwark",132.147,"Bristol"
"65","Islington",110.5534,"Bristol"
"66","Hammersmith and Fulham",109.2127,"Bristol"
"67","Broxtowe",718.7714,"Nottingham"
"68","Gedling",661.0068,"Nottingham"
"69","Rushcliffe",505.6757,"Nottingham"
"70",NA,304.9286,"Nottingham"
"71","Ashfield",283.2535,"Nottingham"
"72","Birmingham",276.7965,"Nottingham"
"73","Erewash",225.3295,"Nottingham"
"74","Leeds",176.5245,"Nottingham"
"75","Derby",167.0894,"Nottingham"
"76","Lambeth",165.0783,"Nottingham"
"77","Wandsworth",149.3539,"Nottingham"
"78","Lambeth",1709.0899,"Wandsworth"
"79","Merton",811.4585,"Wandsworth"
"80",NA,550.436,"Wandsworth"
"81","Southwark",504.1613,"Wandsworth"
"82","Hammersmith and Fulham",468.3103,"Wandsworth"
"83","Croydon",380.4702,"Wandsworth"
"84","Tower Hamlets",310.243,"Wandsworth"
"85","Richmond upon Thames",301.3631,"Wandsworth"
"86","Islington",290.1305,"Wandsworth"
"87","Lewisham",288.4778,"Wandsworth"
"88","Kingston-upon-Thames",259.6743,"Wandsworth"
"89","Wandsworth",1859.1046,"Lambeth"
"90","Southwark",1170.3529,"Lambeth"
"91","Croydon",694.1933,"Lambeth"
"92","Lewisham",529.5135,"Lambeth"
"93",NA,504.1288,"Lambeth"
"94","Hackney",464.271,"Lambeth"
"95","Islington",456.3761,"Lambeth"
"96","Tower Hamlets",449.9089,"Lambeth"
"97","Merton",346.5052,"Lambeth"
"98","Hammersmith and Fulham",332.3608,"Lambeth"
"99","Camden",269.2382,"Lambeth"
"100","Vale of Glamorgan",487.9005,"Cardiff"
"101","Rhondda Cynon Taff",454.5368,"Cardiff"
"102","Newport",351.1692,"Cardiff"
"103","Caerphilly",311.2701,"Cardiff"
"104","Bristol",278.9724,"Cardiff"
"105",NA,277.5774,"Cardiff"
"106","Swansea",196.9251,"Cardiff"
"107","Bridgend",163.3061,"Cardiff"
"108","Carmarthenshire",136.0684,"Cardiff"
"109","Wandsworth",129.635,"Cardiff"
"110","Lambeth",123.1718,"Cardiff"
"111","Knowsley",699.6582,"Liverpool"
"112","Sefton",606.9813,"Liverpool"
"113",NA,489.1952,"Liverpool"
"114","Wirral",429.4834,"Liverpool"
"115","Manchester",326.2726,"Liverpool"
"116","Cheshire West and Chester",314.6323,"Liverpool"
"117","Leeds",160.9111,"Liverpool"
"118","St. Helens",151.4654,"Liverpool"
"119","Halton",146.5194,"Liverpool"
"120","Birmingham",140.7172,"Liverpool"
"121","Salford",123.2739,"Liverpool"
