"","Var1","Freq"
"1","2015-06",26
"2","2015-07",20
"3","2015-08",29
"4","2015-09",20
"5","2015-10",16
"6","2015-11",22
"7","2015-12",17
"8","2016-01",13
"9","2016-02",13
"10","2016-03",16
"11","2016-04",16
"12","2016-05",19
"13","2016-06",23
"14","2016-07",14
"15","2016-08",12
"16","2016-09",29
"17","2016-10",21
"18","2016-11",16
"19","2016-12",15
"20","2017-01",15
"21","2017-02",19
"22","2017-03",21
"23","2017-04",21
"24","2017-05",18
"25","2017-06",23
"26","2017-07",31
"27","2017-08",22
"28","2017-09",18
"29","2017-10",16
"30","2017-11",9
"31","2017-12",17
"32","2018-01",8
"33","2018-02",9
"34","2018-03",14
"35","2018-04",20
"36","2018-05",20
